	Lexeme		Token	row_no in symbol_table

	#100		Int	0
	#-100.12		Real	0
	#+0.0		Real	0
	#0d01		ERROR	-
	#0.0020		ERROR	-
	a3		ID	0
	G8klklkds		ID	1
	a782jk		ID	2
	#02		ERROR	-
	Program		PROGRAM	-
	program		ERROR	-
	Int		INT	-
	Real		REAL	-
	Bool		BOOL	-
	Procedure		PROCEDURE	-
	Function		FUNCTION	-
	Begin		BEGIN	-
	End		END	-
	If		If	-
	Then		Then	-
	Else		Else	-
	While		WHILE	-
	Do		DO	-
	For		FOR	-
	To		TO	-
	Downto		DOWNTO	-
	Case		CASE	-
	Return		RETURN	-
	And Then		AND THEN	-
	Or Else		OR ElLSE	-
	+		+	-
	-		-	-
	*		*	-
	/		/	-
	True		TRUE	-
	False		FALSE	-
	.GT.		.GT.	-
	.GE.		.GE.	-
	.NE.		.NE.	-
	.EQ.		.EQ.	-
	.LT.		.LT.	-
	.LE.		.LE.	-
	,		,	-
	:		:	-
	;		;	-
	:=		:=	-
	(		(	-
	)		)	-
